instance_id,business_id,name,Feature,InstanceID,category,latitude,longitude,X,Y,city,state,stars,review_count,is_open,price,takeout,delivery,outdoor_seating,good_for_kids,alcohol,wifi,ambience,hours
YNjyv0gfOr2g8lbmUpTnKg__venues_and_event_spaces,YNjyv0gfOr2g8lbmUpTnKg,Copper Vine,Venues & Event Spaces,YNjyv0gfOr2g8lbmUpTnKg,Venues & Event Spaces,29.9506467,-90.0744274,267.856350,-647.970084,New Orleans,LA,4.5,350,1,2,true,true,true,,full_bar,free,classy,"{""Monday"": ""0:0-0:0"", ""Tuesday"": ""11:0-21:0"", ""Wednesday"": ""11:0-21:0"", ""Thursday"": ""11:0-21:0"", ""Friday"": ""11:0-23:0"", ""Saturday"": ""10:30-22:0"", ""Sunday"": ""10:30-21:0""}"
TLZ3-eDPLhUzfsWO4ad6Ug__seafood,TLZ3-eDPLhUzfsWO4ad6Ug,Mahony's Po-Boys & Seafood,Seafood,TLZ3-eDPLhUzfsWO4ad6Ug,Seafood,29.9554151,-90.0700619,688.431399,-117.750010,New Orleans,LA,4.0,382,1,2,true,false,false,true,full_bar,free,casual|classy,"{""Monday"": ""0:0-0:0"", ""Thursday"": ""15:0-20:0"", ""Friday"": ""12:0-20:0"", ""Saturday"": ""12:0-20:0"", ""Sunday"": ""12:0-20:0""}"
FRYkg_JvsWU9xIXZsEZcVA__cocktail_bars,FRYkg_JvsWU9xIXZsEZcVA,Altamura,Cocktail Bars,FRYkg_JvsWU9xIXZsEZcVA,Cocktail Bars,29.9333878,-90.0794983,-220.670249,-2567.082260,New Orleans,LA,3.5,27,0,3,false,false,true,false,full_bar,,,"{""Monday"": ""17:0-22:0"", ""Wednesday"": ""17:0-22:0"", ""Thursday"": ""17:0-22:0"", ""Friday"": ""17:0-23:0"", ""Saturday"": ""17:0-23:0"", ""Sunday"": ""15:0-20:0""}"
4IcB3QyMEA85UTWFKh9O9A__american_(new),4IcB3QyMEA85UTWFKh9O9A,Eat Mah Taco @ Pal's Lounge,American (New),4IcB3QyMEA85UTWFKh9O9A,American (New),29.9767620,-90.0864230,-887.796522,2255.920248,New Orleans,LA,4.5,8,0,1,,false,false,false,,free,,"{""Tuesday"": ""17:0-22:0""}"
Edg22x3CZkIv0GUib2oEFA__pizza,Edg22x3CZkIv0GUib2oEFA,Mellow Mushroom,Pizza,Edg22x3CZkIv0GUib2oEFA,Pizza,29.9486236,-90.1312503,-5206.455590,-872.929307,New Orleans,LA,3.5,149,0,2,true,true,true,true,full_bar,free,casual,"{""Monday"": ""0:0-0:0"", ""Tuesday"": ""11:0-21:0"", ""Wednesday"": ""12:0-22:0"", ""Thursday"": ""11:0-22:0"", ""Friday"": ""11:0-23:0"", ""Saturday"": ""11:0-23:0"", ""Sunday"": ""11:0-22:0""}"
FR5xx5YEzxAnoMdqGl7vRQ__fitness_and_instruction,FR5xx5YEzxAnoMdqGl7vRQ,Anytime Fitness,Fitness & Instruction,FR5xx5YEzxAnoMdqGl7vRQ,Fitness & Instruction,29.9991154,-90.0607732,1583.304500,4741.508355,New Orleans,LA,3.0,6,1,,,,,false,,,,"{""Monday"": ""0:0-0:0"", ""Tuesday"": ""0:0-0:0"", ""Wednesday"": ""0:0-0:0"", ""Thursday"": ""0:0-0:0"", ""Friday"": ""0:0-0:0"", ""Saturday"": ""0:0-0:0"", ""Sunday"": ""0:0-0:0""}"
x7_p5O3ChQa7shdHCcLHZQ__venues_and_event_spaces,x7_p5O3ChQa7shdHCcLHZQ,Olivier's Creole Restaurant,Venues & Event Spaces,x7_p5O3ChQa7shdHCcLHZQ,Venues & Event Spaces,29.9510658,-90.0715323,546.773104,-601.370772,New Orleans,LA,3.5,172,0,2,true,false,false,false,full_bar,no,classy,
IOZrqUQ2Jg6UeQ5CWpsmkg__beer,IOZrqUQ2Jg6UeQ5CWpsmkg,Nesbit's Magazine Street Market,Beer,IOZrqUQ2Jg6UeQ5CWpsmkg,Beer,29.9504773,-90.0679445,892.421656,-666.809077,New Orleans,LA,5.0,7,1,,true,false,,,,,,"{""Monday"": ""8:0-15:0"", ""Tuesday"": ""12:0-18:0"", ""Wednesday"": ""12:0-18:0"", ""Thursday"": ""12:0-18:0"", ""Friday"": ""12:0-20:0"", ""Saturday"": ""12:0-20:0"", ""Sunday"": ""12:0-20:0""}"
b7YJrFZWZdI2C5-9nZvVdw__specialty_food,b7YJrFZWZdI2C5-9nZvVdw,Saltwater Grill,Specialty Food,b7YJrFZWZdI2C5-9nZvVdw,Specialty Food,29.9444540,-90.1335370,-5426.757978,-1336.570404,New Orleans,LA,2.5,34,0,2,true,false,true,true,full_bar,no,casual,"{""Monday"": ""11:0-21:0"", ""Tuesday"": ""11:0-21:0"", ""Wednesday"": ""11:0-21:0"", ""Thursday"": ""11:0-21:0"", ""Friday"": ""11:0-21:0"", ""Saturday"": ""11:0-21:0"", ""Sunday"": ""11:0-21:0""}"
bSJczuohHVko33UT82hnfA__fast_food,bSJczuohHVko33UT82hnfA,Blaze Pizza,Fast Food,bSJczuohHVko33UT82hnfA,Fast Food,29.9483950,-90.0752810,185.623449,-898.350593,New Orleans,LA,4.0,302,1,1,true,true,true,true,beer_and_wine,free,casual|trendy,"{""Monday"": ""0:0-0:0"", ""Tuesday"": ""11:0-22:0"", ""Wednesday"": ""12:0-22:0"", ""Thursday"": ""11:0-22:0"", ""Friday"": ""11:0-22:0"", ""Saturday"": ""11:0-22:0"", ""Sunday"": ""11:0-22:0""}"
vFJIK-z3QWs-3XNjs1hcZQ__venues_and_event_spaces,vFJIK-z3QWs-3XNjs1hcZQ,New Orleans Jazz Market,Venues & Event Spaces,vFJIK-z3QWs-3XNjs1hcZQ,Venues & Event Spaces,29.9411590,-90.0789941,-172.097041,-1702.953945,New Orleans,LA,4.0,31,1,2,,,false,true,full_bar,free,casual|classy|trendy|upscale,"{""Tuesday"": ""10:0-16:0"", ""Wednesday"": ""21:0-1:0"", ""Thursday"": ""10:0-16:0"", ""Friday"": ""10:0-16:0"", ""Saturday"": ""10:0-16:0""}"
JgORpZ2kB8DG2MECu7jvkQ__art_galleries,JgORpZ2kB8DG2MECu7jvkQ,Tat Starz,Art Galleries,JgORpZ2kB8DG2MECu7jvkQ,Art Galleries,29.9695644,-90.0679250,894.300286,1455.582539,New Orleans,LA,4.5,19,1,2,,,,,,,,"{""Monday"": ""12:0-2:0"", ""Tuesday"": ""12:0-2:0"", ""Wednesday"": ""12:0-2:0"", ""Thursday"": ""12:0-2:0"", ""Friday"": ""12:0-2:0"", ""Saturday"": ""12:0-2:0"", ""Sunday"": ""12:0-2:0""}"
dk9zGFRJD2RXkHqAmFHOOA__pizza,dk9zGFRJD2RXkHqAmFHOOA,Garage Pizza,Pizza,dk9zGFRJD2RXkHqAmFHOOA,Pizza,29.9668143,-90.0895672,-1190.708663,1149.784949,New Orleans,LA,4.0,6,0,2,true,true,true,false,none,free,,
hK59rATCI9o_rmeQu57RWw__coffee_and_tea,hK59rATCI9o_rmeQu57RWw,De Ville Coffee House & Creperie,Coffee & Tea,hK59rATCI9o_rmeQu57RWw,Coffee & Tea,29.9585010,-90.0616300,1500.760411,225.386888,New Orleans,LA,4.5,36,0,1,,,true,,,no,,"{""Monday"": ""10:0-15:0"", ""Tuesday"": ""10:0-15:0"", ""Thursday"": ""10:0-15:0"", ""Friday"": ""10:0-16:0"", ""Saturday"": ""10:0-16:0"", ""Sunday"": ""10:0-16:0""}"
yUcMPv-B9gCUUNT-GUiJbw__desserts,yUcMPv-B9gCUUNT-GUiJbw,The flagpole Nola,Desserts,yUcMPv-B9gCUUNT-GUiJbw,Desserts,29.9724753,-90.0724686,456.569988,1779.260298,New Orleans,LA,5.0,30,1,,,,true,,,free,,"{""Monday"": ""6:30-18:0"", ""Tuesday"": ""6:30-18:0"", ""Wednesday"": ""6:30-18:0"", ""Thursday"": ""6:30-18:0"", ""Friday"": ""6:30-18:0"", ""Saturday"": ""8:0-18:0"", ""Sunday"": ""8:0-18:0""}"
MC5pczUOBUN-0MtJAYk46Q__desserts,MC5pczUOBUN-0MtJAYk46Q,Cupcake Fairies,Desserts,MC5pczUOBUN-0MtJAYk46Q,Desserts,29.9762580,-90.0761050,106.239312,2199.877928,New Orleans,LA,5.0,20,1,2,true,true,,,,,,"{""Tuesday"": ""9:0-18:0"", ""Wednesday"": ""9:0-18:0"", ""Thursday"": ""9:0-18:0"", ""Friday"": ""9:0-18:0"", ""Saturday"": ""9:0-18:0""}"
Wc-c_hQK4vFCl9keeVTUZw__southern,Wc-c_hQK4vFCl9keeVTUZw,Felix's Restaurant & Oyster Bar,Southern,Wc-c_hQK4vFCl9keeVTUZw,Southern,30.0237920,-90.1136223,-3508.176331,7485.424872,New Orleans,LA,3.5,255,1,2,true,true,true,true,full_bar,free,casual,"{""Monday"": ""11:0-21:0"", ""Tuesday"": ""11:0-21:0"", ""Wednesday"": ""11:0-21:0"", ""Thursday"": ""11:0-21:0"", ""Friday"": ""11:0-22:0"", ""Saturday"": ""11:0-22:0"", ""Sunday"": ""11:0-21:0""}"
du_yelFmWOZDEyIAE-jdsQ__fast_food,du_yelFmWOZDEyIAE-jdsQ,Taco Del Mar,Fast Food,du_yelFmWOZDEyIAE-jdsQ,Fast Food,29.9522481,-90.0782640,-101.758582,-469.907031,New Orleans,LA,2.0,9,1,1,true,true,false,true,none,,,"{""Monday"": ""7:0-16:0"", ""Tuesday"": ""7:0-16:0"", ""Wednesday"": ""7:0-16:0"", ""Thursday"": ""7:0-16:0"", ""Friday"": ""7:0-16:0""}"
nePPSHdai8L7aWmXwOZHEg__burgers,nePPSHdai8L7aWmXwOZHEg,Stokehold Restaurant,Burgers,nePPSHdai8L7aWmXwOZHEg,Burgers,29.9170045,-90.0982621,-2028.375088,-4388.819759,New Orleans,LA,4.5,13,0,2,true,false,true,false,beer_and_wine,free,classy,"{""Monday"": ""11:0-22:0"", ""Wednesday"": ""11:0-22:0"", ""Thursday"": ""11:0-22:0"", ""Friday"": ""11:0-22:30"", ""Saturday"": ""11:0-22:30"", ""Sunday"": ""11:0-22:0""}"
W4ZEKkva9HpAdZG88juwyQ__cafes,W4ZEKkva9HpAdZG88juwyQ,Mr. B's Bistro,Cafes,W4ZEKkva9HpAdZG88juwyQ,Cafes,29.9543868,-90.0683629,852.113012,-232.091911,New Orleans,LA,4.0,2064,1,3,true,true,false,false,full_bar,free,classy,"{""Wednesday"": ""11:30-20:0"", ""Thursday"": ""11:30-20:0"", ""Friday"": ""11:30-20:0"", ""Saturday"": ""11:30-20:0"", ""Sunday"": ""11:30-20:0""}"
Y2NFeGtConx1qciSPKcRlA__pizza,Y2NFeGtConx1qciSPKcRlA,Reginelli's Pizzeria - Closed,Pizza,Y2NFeGtConx1qciSPKcRlA,Pizza,29.9233127,-90.0875812,-999.377478,-3687.378954,New Orleans,LA,3.5,171,0,2,true,true,true,true,full_bar,free,casual,"{""Monday"": ""11:0-23:0"", ""Tuesday"": ""11:0-23:0"", ""Wednesday"": ""11:0-23:0"", ""Thursday"": ""11:0-23:0"", ""Friday"": ""11:0-0:0"", ""Saturday"": ""11:0-0:0"", ""Sunday"": ""11:0-23:0""}"
0AQJ-QTu7GtxaP4SoD07yA__desserts,0AQJ-QTu7GtxaP4SoD07yA,Sno-La Snowball Lounge,Desserts,0AQJ-QTu7GtxaP4SoD07yA,Desserts,29.9943479,-90.1550396,-7498.317866,4211.385810,New Orleans,LA,4.5,177,0,1,true,false,,true,,free,,"{""Monday"": ""0:0-0:0"", ""Tuesday"": ""12:0-21:0"", ""Wednesday"": ""12:0-21:0"", ""Thursday"": ""12:0-21:0"", ""Friday"": ""12:0-21:0"", ""Saturday"": ""12:0-21:0"", ""Sunday"": ""12:0-20:0""}"
5wgoIQXyP3BEPZLiVi1W8A__american_(traditional),5wgoIQXyP3BEPZLiVi1W8A,The Howlin' Wolf,American (Traditional),5wgoIQXyP3BEPZLiVi1W8A,American (Traditional),29.9426876,-90.0659910,1080.621792,-1532.985393,New Orleans,LA,3.5,213,1,2,true,true,true,false,full_bar,free,casual|classy|divey,"{""Monday"": ""11:0-0:0"", ""Tuesday"": ""11:0-0:0"", ""Wednesday"": ""11:0-0:0"", ""Thursday"": ""11:0-0:0"", ""Friday"": ""11:0-3:0"", ""Saturday"": ""11:0-3:0"", ""Sunday"": ""11:0-2:0""}"
G9JqaURDTC_pSzji0bytwA__burgers,G9JqaURDTC_pSzji0bytwA,Port St Peter,Burgers,G9JqaURDTC_pSzji0bytwA,Burgers,29.9584960,-90.0652404,1152.934575,224.830913,New Orleans,LA,3.5,83,0,2,true,false,false,false,full_bar,no,,"{""Monday"": ""11:0-3:0"", ""Tuesday"": ""11:0-3:0"", ""Wednesday"": ""11:0-3:0"", ""Thursday"": ""11:0-3:0"", ""Friday"": ""11:0-3:0"", ""Saturday"": ""11:0-3:0"", ""Sunday"": ""11:0-12:0""}"
