instance_id,business_id,name,Feature,InstanceID,category,latitude,longitude,X,Y,city,state,stars,review_count,is_open,price,takeout,delivery,outdoor_seating,good_for_kids,alcohol,wifi,ambience,hours
MTSW4McQd7CbVtyjqoe9mw__bakeries,MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,Bakeries,MTSW4McQd7CbVtyjqoe9mw,Bakeries,39.9555052,-75.1555641,-112.612538,-2190.186999,Philadelphia,PA,4.0,80,1,1,true,false,false,,none,free,,"{""Monday"": ""7:0-20:0"", ""Tuesday"": ""7:0-20:0"", ""Wednesday"": ""7:0-20:0"", ""Thursday"": ""7:0-20:0"", ""Friday"": ""7:0-21:0"", ""Saturday"": ""7:0-21:0"", ""Sunday"": ""7:0-21:0""}"
ROeacJQwBeh05Rqg7F6TCg__korean,ROeacJQwBeh05Rqg7F6TCg,BAP,Korean,ROeacJQwBeh05Rqg7F6TCg,Korean,39.9432230,-75.1625680,-709.423963,-3555.907214,Philadelphia,PA,4.5,205,1,1,true,,,true,none,no,casual,"{""Monday"": ""11:30-20:30"", ""Tuesday"": ""11:30-20:30"", ""Wednesday"": ""11:30-20:30"", ""Thursday"": ""11:30-20:30"", ""Friday"": ""11:30-20:30"", ""Saturday"": ""11:30-20:30""}"
QdN72BWoyFypdGJhhI5r7g__italian,QdN72BWoyFypdGJhhI5r7g,Bar One,Italian,QdN72BWoyFypdGJhhI5r7g,Italian,39.9398246,-75.1574466,-273.019675,-3933.795855,Philadelphia,PA,4.0,65,0,2,true,true,false,false,full_bar,free,casual|hipster,"{""Monday"": ""16:0-0:0"", ""Tuesday"": ""16:0-0:0"", ""Wednesday"": ""16:0-0:0"", ""Thursday"": ""12:0-0:0"", ""Friday"": ""12:0-2:0"", ""Saturday"": ""11:0-2:0"", ""Sunday"": ""11:0-0:0""}"
Mjboz24M9NlBeiOJKLEd_Q__pizza,Mjboz24M9NlBeiOJKLEd_Q,DeSandro on Main,Pizza,Mjboz24M9NlBeiOJKLEd_Q,Pizza,40.0224662,-75.2183140,-5459.613100,5255.546768,Philadelphia,PA,3.0,41,0,1,true,true,true,true,none,no,,"{""Tuesday"": ""17:0-21:30"", ""Wednesday"": ""17:0-1:30"", ""Thursday"": ""17:0-1:30"", ""Friday"": ""17:0-0:30"", ""Saturday"": ""17:0-0:30"", ""Sunday"": ""17:0-21:30""}"
aPNXGTDkf-4bjhyMBQxqpQ__bakeries,aPNXGTDkf-4bjhyMBQxqpQ,Craft Hall,Bakeries,aPNXGTDkf-4bjhyMBQxqpQ,Bakeries,39.9625821,-75.1356571,1583.688813,-1403.270536,Philadelphia,PA,3.5,65,1,2,true,true,true,true,,,classy,"{""Monday"": ""0:0-0:0"", ""Wednesday"": ""16:0-22:0"", ""Thursday"": ""16:0-22:0"", ""Friday"": ""16:0-19:0"", ""Saturday"": ""11:0-23:0"", ""Sunday"": ""11:0-20:0""}"
-4dYswJy7SPcbcERvitmIg__grocery,-4dYswJy7SPcbcERvitmIg,Pathmark,Grocery,-4dYswJy7SPcbcERvitmIg,Grocery,39.9404026,-75.1932966,-3327.847920,-3869.521818,Philadelphia,PA,2.5,34,0,2,,,,,,,,"{""Monday"": ""6:0-1:0"", ""Tuesday"": ""6:0-1:0"", ""Wednesday"": ""6:0-1:0"", ""Thursday"": ""6:0-1:0"", ""Friday"": ""6:0-1:0"", ""Saturday"": ""6:0-1:0"", ""Sunday"": ""6:0-1:0""}"
ppFCk9aQkM338Rgwpl2F5A__coffee_and_tea,ppFCk9aQkM338Rgwpl2F5A,Wawa,Coffee & Tea,ppFCk9aQkM338Rgwpl2F5A,Coffee & Tea,39.9545730,-75.1948936,-3463.930366,-2293.843053,Philadelphia,PA,3.0,56,1,1,true,true,false,true,none,free,casual,"{""Monday"": ""0:0-0:0"", ""Tuesday"": ""0:0-0:0"", ""Wednesday"": ""0:0-0:0"", ""Thursday"": ""0:0-0:0"", ""Friday"": ""0:0-0:0"", ""Saturday"": ""0:0-0:0"", ""Sunday"": ""0:0-0:0""}"
3BJxm-HnvzdwD1zjmSbmyQ__chinese,3BJxm-HnvzdwD1zjmSbmyQ,Golden Chopstick Chinese Restaurant,Chinese,3BJxm-HnvzdwD1zjmSbmyQ,Chinese,39.9630777,-75.1680275,-1174.631043,-1348.161254,Philadelphia,PA,3.0,137,1,1,true,true,false,true,none,free,,"{""Monday"": ""0:0-0:0"", ""Tuesday"": ""11:0-22:30"", ""Wednesday"": ""11:0-22:30"", ""Thursday"": ""11:0-22:30"", ""Friday"": ""11:0-22:30"", ""Saturday"": ""11:0-22:30"", ""Sunday"": ""12:0-22:30""}"
WYYdQDjx-DsCanlP0DpImQ__seafood,WYYdQDjx-DsCanlP0DpImQ,J Sushi,Seafood,WYYdQDjx-DsCanlP0DpImQ,Seafood,39.9470334,-75.1574339,-271.940627,-3132.209480,Philadelphia,PA,4.5,72,0,2,true,true,false,true,none,free,,"{""Tuesday"": ""11:0-22:0"", ""Wednesday"": ""11:0-22:0"", ""Thursday"": ""11:0-22:0"", ""Friday"": ""11:0-22:30"", ""Saturday"": ""12:0-22:30"", ""Sunday"": ""12:0-22:0""}"
FTFtoylMzkrzqNVSl-bkKw__grocery,FTFtoylMzkrzqNVSl-bkKw,Giant Food Stores,Grocery,FTFtoylMzkrzqNVSl-bkKw,Grocery,39.9565280,-75.1780137,-2025.575720,-2076.456404,Philadelphia,PA,4.0,19,1,,true,true,,,,,,"{""Monday"": ""6:0-23:0"", ""Tuesday"": ""6:0-23:0"", ""Wednesday"": ""6:0-23:0"", ""Thursday"": ""6:0-23:0"", ""Friday"": ""6:0-23:0"", ""Saturday"": ""6:0-23:0"", ""Sunday"": ""6:0-23:0""}"
