Feature,Instance,LocX,LocY
A,1,10.5,20.2
A,2,15.3,22.1
A,3,18.7,25.4
A,4,12.1,18.9
A,5,20.5,23.7
A,6,14.8,21.3
A,7,16.2,24.1
A,8,11.9,19.5
A,9,19.3,22.8
A,10,13.6,20.7
B,1,11.0,20.5
B,2,15.8,22.4
B,3,19.1,25.8
B,4,12.5,19.2
B,5,21.0,24.1
C,1,10.8,21.0
C,2,16.1,23.0
C,3,18.9,26.1
C,4,13.0,19.8
C,5,20.8,24.5
C,6,14.5,21.8
C,7,17.2,24.8
D,1,25.3,30.2
D,2,26.1,31.5
D,3,24.8,29.7
E,1,25.5,30.5
E,2,26.3,31.8
A,11,25.0,30.0
A,12,26.5,32.0
B,6,25.2,30.3
B,7,26.7,31.9
C,8,24.9,29.9
C,9,26.0,31.2
A,13,35.5,40.2
A,14,36.3,41.1
A,15,34.7,39.4
B,8,35.8,40.5
B,9,36.1,41.3
C,10,35.3,40.0
C,11,36.5,41.5
D,4,35.0,39.8
D,5,36.8,41.8
E,3,35.2,40.3
E,4,36.6,41.6
A,16,45.5,50.2
A,17,46.3,51.1
A,18,44.7,49.4
A,19,47.1,51.8
B,10,45.8,50.5
C,12,45.3,50.0
