instance_id,business_id,Feature,InstanceID,category,latitude,longitude,X,Y,city,state,stars,review_count,is_open
--OS_I7dnABrXvRCCuWOGQ__automotive,--OS_I7dnABrXvRCCuWOGQ,Automotive,--OS_I7dnABrXvRCCuWOGQ,Automotive,40.0281603,-75.0338026,9930.396949,5371.264464,Philadelphia,PA,4.0,5,1
-0TffRSXXIlBYVbb5AwfTg__nightlife,-0TffRSXXIlBYVbb5AwfTg,Nightlife,-0TffRSXXIlBYVbb5AwfTg,Nightlife,39.9485078263,-75.1619688173,-990.069400,-3485.698740,Philadelphia,PA,4.5,1097,1
-0x-MbRbsi9YoPxB873qcw__event_planning___services,-0x-MbRbsi9YoPxB873qcw,Event Planning & Services,-0x-MbRbsi9YoPxB873qcw,Event Planning & Services,39.9593247,-75.2482224,-8339.348853,-2282.915601,Philadelphia,PA,4.0,5,1
-1B9pP_CrRBJYPICE5WbRA__restaurants,-1B9pP_CrRBJYPICE5WbRA,Restaurants,-1B9pP_CrRBJYPICE5WbRA,Restaurants,39.950352,-75.1615829,-957.187124,-3280.635697,Philadelphia,PA,4.0,822,1
-1yt2mk60wWuQz9hPVKZCA__shopping,-1yt2mk60wWuQz9hPVKZCA,Shopping,-1yt2mk60wWuQz9hPVKZCA,Shopping,39.9420767,-75.1517898,-122.761163,-4200.808345,Philadelphia,PA,4.5,17,1
-2vZHP5Ej9FroxJo8qYJXA__shopping,-2vZHP5Ej9FroxJo8qYJXA,Shopping,-2vZHP5Ej9FroxJo8qYJXA,Shopping,39.9126116,-75.1766718,-2242.844360,-7477.182503,Philadelphia,PA,3.5,5,1
-2xzyHY8uWnLmyQkkfwMuQ__shopping,-2xzyHY8uWnLmyQkkfwMuQ,Shopping,-2xzyHY8uWnLmyQkkfwMuQ,Shopping,40.0758032,-75.2055828,-4706.220508,10668.920552,Philadelphia,PA,4.0,16,1
-3ArWZfDjfab8qVHf3WVtg__restaurants,-3ArWZfDjfab8qVHf3WVtg,Restaurants,-3ArWZfDjfab8qVHf3WVtg,Restaurants,39.9251278,-75.2346314,-7181.320932,-6085.442640,Philadelphia,PA,4.0,5,1
-3Z9SadSY-w_ckVGQ0dedQ__automotive,-3Z9SadSY-w_ckVGQ0dedQ,Automotive,-3Z9SadSY-w_ckVGQ0dedQ,Automotive,39.9120596,-75.1487007,140.447140,-7538.562188,Philadelphia,PA,2.5,8,1
-3e3CP3FFc-rvJj_-_airw__arts___entertainment,-3e3CP3FFc-rvJj_-_airw,Arts & Entertainment,-3e3CP3FFc-rvJj_-_airw,Arts & Entertainment,39.9600237,-75.1371563,1124.093489,-2205.190240,Philadelphia,PA,3.5,80,1
-3m_nXlyvdKAVNNmVirpGQ__restaurants,-3m_nXlyvdKAVNNmVirpGQ,Restaurants,-3m_nXlyvdKAVNNmVirpGQ,Restaurants,39.9583155,-75.1928745,-3623.403480,-2395.133676,Philadelphia,PA,3.5,14,1
-54X2p-t4_toIoem4k_SvA__health___medical,-54X2p-t4_toIoem4k_SvA,Health & Medical,-54X2p-t4_toIoem4k_SvA,Health & Medical,39.953758,-75.1718208,-1829.512490,-2901.905254,Philadelphia,PA,1.0,10,1
-5LzSdkohuiRPOLi0GGCJQ__beauty___spas,-5LzSdkohuiRPOLi0GGCJQ,Beauty & Spas,-5LzSdkohuiRPOLi0GGCJQ,Beauty & Spas,39.94607,-75.16139,-940.750984,-3756.773031,Philadelphia,PA,4.0,7,1
-5Rah4ZvWsDu4oilUZxhtw__nightlife,-5Rah4ZvWsDu4oilUZxhtw,Nightlife,-5Rah4ZvWsDu4oilUZxhtw,Nightlife,39.9520744759,-75.1851766256,-2967.502259,-3089.104851,Philadelphia,PA,4.0,350,1
-5ink0kIoVfuS5Zi_6QBnQ__local_services,-5ink0kIoVfuS5Zi_6QBnQ,Local Services,-5ink0kIoVfuS5Zi_6QBnQ,Local Services,39.9631059,-75.1411268,785.785060,-1862.464763,Philadelphia,PA,5.0,72,1
-5uzjjKUA-kt81j605d5Jg__active_life,-5uzjjKUA-kt81j605d5Jg,Active Life,-5uzjjKUA-kt81j605d5Jg,Active Life,39.9515402,-75.1737556,-1994.368088,-3148.513703,Philadelphia,PA,4.0,113,1
-63ytt5vkWof-M9NDGTkng__restaurants,-63ytt5vkWof-M9NDGTkng,Restaurants,-63ytt5vkWof-M9NDGTkng,Restaurants,39.9619616,-75.1558838,-471.592472,-1989.705294,Philadelphia,PA,2.5,15,1
-6AjXJIUlbGSUohUzg9-iA__shopping,-6AjXJIUlbGSUohUzg9-iA,Shopping,-6AjXJIUlbGSUohUzg9-iA,Shopping,39.9264379,-75.1668767,-1408.247989,-5939.765965,Philadelphia,PA,3.0,13,1
-6MEKOmFu6jckT3pruSxHg__food,-6MEKOmFu6jckT3pruSxHg,Food,-6MEKOmFu6jckT3pruSxHg,Food,39.9529716579,-75.1924387776,-3586.277536,-2989.342627,Philadelphia,PA,2.0,23,1
-7KyK-QIAjFicDhpifwbPw__shopping,-7KyK-QIAjFicDhpifwbPw,Shopping,-7KyK-QIAjFicDhpifwbPw,Shopping,39.9536541,-75.1427227,649.805606,-2913.458423,Philadelphia,PA,4.0,16,1
-8-8mbxQEpZx8Zs_nrzljA__beauty___spas,-8-8mbxQEpZx8Zs_nrzljA,Beauty & Spas,-8-8mbxQEpZx8Zs_nrzljA,Beauty & Spas,39.95482589,-75.1575158075,-610.648483,-2783.161140,Philadelphia,PA,4.5,17,1
-ATiAtTikuGuqvaW2O6tNA__sandwiches,-ATiAtTikuGuqvaW2O6tNA,Sandwiches,-ATiAtTikuGuqvaW2O6tNA,Sandwiches,39.9504833638,-75.1673305865,-1446.921614,-3266.028689,Philadelphia,PA,3.5,593,1
-AanHawaDlzWHQjrqRRWig__restaurants,-AanHawaDlzWHQjrqRRWig,Restaurants,-AanHawaDlzWHQjrqRRWig,Restaurants,39.9498882471,-75.1572606784,-588.910081,-3332.202738,Philadelphia,PA,2.5,42,1
-Be75AsLHhBrrDYZwfwSCA__home_services,-Be75AsLHhBrrDYZwfwSCA,Home Services,-Be75AsLHhBrrDYZwfwSCA,Home Services,40.0770777,-75.0837417,5675.311073,10810.638682,Philadelphia,PA,2.0,5,1
-BhSR6dAry5-2x3ndjX_9w__beauty___spas,-BhSR6dAry5-2x3ndjX_9w,Beauty & Spas,-BhSR6dAry5-2x3ndjX_9w,Beauty & Spas,39.927488,-75.16651,-1377.003133,-5823.000012,Philadelphia,PA,4.0,79,1
-Bhoyo7LL97tgt9Hze0Saw__restaurants,-Bhoyo7LL97tgt9Hze0Saw,Restaurants,-Bhoyo7LL97tgt9Hze0Saw,Restaurants,40.0270908616,-75.1327757719,1497.338566,5252.348175,Philadelphia,PA,4.5,16,1
